,Unnamed: 0,State,District,Persons,Males,Females,Growth (1991 - 2001),Rural,Urban,Scheduled Caste population,Percentage - SC to total,Number of households,Household size (per household),Sex ratio (females per 1000 males),Sex ratio (0-6 years),Scheduled Tribe population,Percentage to total population (ST),Persons- literate,Males- Literate,Females- Literate,Persons- literacy rate,Males- Literatacy Rate,Females- Literacy Rate,Total Educated,Data without level,Below Primary,Primary,Middle,Matric/Higher Secondary/Diploma,Graduate and Above,0 - 4 years,5 - 14 years,15 - 59 years,60 years and above (Incl. A.N.S.),Total workers,Main workers,Marginal workers,Non-workers,SC#1 Name,SC#1 Population,SC#2 Name,SC#2 Population,SC#3 Name,SC#3 Population,Religeon#1 Name,Religeon#1 Population,Religeon#2 Name,Religeon#2 Population,Religeon#3 Name,Religeon#3 Population,ST#1 Name,ST#1 Population,ST#2 Name,ST#2 Population,ST#3 Name,ST#3 Population,Imp Town#1 Name,Imp Town#1 Population,Imp Town#2 Name,Imp Town#2 Population,Imp Town#3 Name,Imp Town#3 Population,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity (Power Supply),Electricity (domestic),Electricity (Agriculture),Primary school,Middle schools,Secondary/Sr Secondary schools,College,Medical facility,Primary Health Centre,Primary Health Sub-Centre,"Post, telegraph and telephone facility",Bus services,Paved approach road,Mud approach road,Permanent House,Semi-permanent House,Temporary House
10,11,Gujarat,District Porbandar,536835.0,275821.0,261014.0,14.35,275460,261375,48233,8.98,105893.0,5.0,946.0,897.0,6456,1.2,316172.0,184717.0,131455.0,68.62,78.36,58.42,316172.0,3029.0,86630.0,91944.0,58461.0,63064.0,13007.0,54019.0,114022.0,325681.0,43113.0,215134.0,173594.0,41540.0,321701.0,1.Mahyavansi etc.,37762.0,2.Bhambi etc.,3772.0,3.Bhangi etc.,3524.0,1.Hindus,507176.0,2.Muslims,28404.0,3.Jains,589.0,1.Rabari,5306,2.Bhil etc.,535,3.Charan,212,1.Porbandar (M),133051.0,2.Chhaya (M),38526.0,3.Ranavav (M),24199.0,182.0,182.0,178.0,155.0,8,1,156.0,-,33,1,130,9,60,132.0,141.0,132.0,60,95.2,3.8,1.0
11,12,Gujarat,"District Junagadh (12), Gujarat (24)",2448173.0,1252350.0,1195823.0,17.08,1736645,711528,235624,9.62,432884.0,6.0,955.0,902.0,18832,0.77,1408878.0,833064.0,575814.0,67.78,78.74,56.43,1408878.0,14948.0,396444.0,397552.0,245044.0,293642.0,60977.0,260017.0,556596.0,1447209.0,184351.0,1000842.0,785530.0,215312.0,1447331.0,1.Mahyavansi etc.,150063.0,2.Bhambi etc.,46360.0,3.Nadia etc.,15056.0,1.Hindus,2165734.0,2.Muslims,274481.0,3.Jains,4291.0,1.Rabari,6290,2.Siddi,6176,3.Bhil etc.,2308,1.Junagadh (M),168515.0,2.Veraval (M),141357.0,3.Keshod (M),63257.0,923.0,922.0,916.0,901.0,38,3,858.0,-,299,6,803,50,369,743.0,828.0,765.0,411,88.7,10.2,1.0
12,13,Gujarat,"District Amreli (13), Gujarat (24)",1393918.0,701593.0,692325.0,6.45,1080960,312958,115490,8.29,248677.0,6.0,987.0,892.0,3256,0.23,789978.0,456025.0,333953.0,66.09,76.44,55.78,789978.0,8015.0,272031.0,255693.0,100584.0,133486.0,20031.0,136207.0,333411.0,800409.0,123891.0,600819.0,470043.0,130776.0,793099.0,1.Mahyavansi etc.,61384.0,2.Bhambi etc.,37790.0,3.Bhangi etc.,9884.0,1.Hindus,1307460.0,2.Muslims,83077.0,3.Jains,2309.0,1.Bhil etc.,1504,2.Generic Tribes etc.,442,3.Patelia,412,1.Amreli (M),90230.0,2.Savarkundla (M),73774.0,3.Rajula (M),32395.0,615.0,614.0,613.0,615.0,102,85,614.0,-,118,3,383,39,170,520.0,590.0,535.0,353,64.8,32.2,2.9
13,14,Gujarat,"District Bhavnagar (14), Gujarat (24)",2469630.0,1274920.0,1194710.0,19.29,1534592,935038,142128,5.76,426001.0,6.0,937.0,881.0,7298,0.3,1368920.0,828080.0,540840.0,66.2,78.02,53.73,1368920.0,17227.0,451513.0,447754.0,176531.0,217579.0,57987.0,276315.0,617608.0,1392303.0,183404.0,944559.0,781166.0,163393.0,1525071.0,1.Mahyavansi etc.,61591.0,2.Bhambi etc.,53035.0,3.Bhangi etc.,19613.0,1.Hindus,2264062.0,2.Muslims,172740.0,3.Jains,28921.0,1.Bhil etc.,4724,2.Generic Tribes etc.,1032,3.Siddi,279,1.Bhavnagar (M Corp.),511085.0,2.Botad (M),100194.0,3.Mahuva (M),70756.0,790.0,790.0,790.0,789.0,126,104,786.0,-,122,2,526,46,269,618.0,758.0,690.0,281,67.1,27.7,5.1
14,15,Gujarat,District Anand,1856872.0,972000.0,884872.0,13.03,1348901,507971,98485,5.3,360808.0,5.0,910.0,848.0,22835,1.23,1193404.0,717909.0,475495.0,74.51,86.09,61.94,1193404.0,8141.0,323092.0,328052.0,163168.0,299294.0,71226.0,178990.0,392524.0,1150704.0,134654.0,784711.0,617669.0,167042.0,1072161.0,1.Mahyavansi etc.,41280.0,2.Bhambi etc.,28241.0,3.Bhangi etc.,18037.0,1.Hindus,1616127.0,2.Muslims,199263.0,3.Christians,29461.0,1.Bhil etc.,17421,2.Koli Dhor etc.,1272,3.Rathawa,1034,1.Anand (M),130685.0,2.Khambhat (M),80452.0,3.Borsad (M),56548.0,350.0,350.0,350.0,350.0,13,9,350.0,-,211,2,301,54,181,330.0,346.0,345.0,171,53.4,43.0,3.6
15,16,Gujarat,"District Kheda (16), Gujarat (24)",2024216.0,1052823.0,971393.0,13.24,1617766,406450,106111,5.24,395493.0,5.0,923.0,875.0,32394,1.6,1243363.0,769426.0,473937.0,71.96,85.99,56.9,1243363.0,11755.0,351172.0,343682.0,180020.0,299712.0,56489.0,207619.0,433219.0,1231913.0,151465.0,908180.0,694400.0,213780.0,1116036.0,1.Mahyavansi etc.,36909.0,2.Bhambi etc.,29687.0,3.Bhangi etc.,18037.0,1.Hindus,1775214.0,2.Muslims,218660.0,3.Christians,23178.0,1.Bhil etc.,21611,2.Naikda etc.,4124,3.Dhanka etc.,3569,1.Nadiad (M),192913.0,2.Kapadvanj (M),43950.0,3.Chaklasi (M),36101.0,612.0,612.0,612.0,612.0,34,34,612.0,-,306,6,432,57,285,498.0,559.0,548.0,374,44.3,50.2,5.4
16,17,Gujarat,"District Panch Mahals (17), Gujarat (24)",2025277.0,1044937.0,980340.0,20.36,1771915,253362,92492,4.57,360862.0,6.0,938.0,934.0,556000,27.45,1025835.0,659346.0,366489.0,60.92,75.91,44.94,1025835.0,12135.0,302434.0,276113.0,156973.0,239821.0,37261.0,243351.0,489499.0,1147811.0,144616.0,976726.0,616885.0,359841.0,1048551.0,1.Mahyavansi etc.,42180.0,2.Bhambi etc.,18471.0,3.Bhangi etc.,12766.0,1.Hindus,1897034.0,2.Muslims,120676.0,3.Jains,4382.0,1.Bhil etc.,326103,2.Naikda etc.,120219,3.Rathawa,86895,1.Godhra (M),121879.0,2.Halol (M),41115.0,3.Lunawada (M),33369.0,1201.0,1201.0,1200.0,1201.0,206,104,1182.0,-,378,8,781,58,318,591.0,1003.0,963.0,995,32.0,59.5,8.5
17,18,Gujarat,District Dohad,1636433.0,824208.0,812225.0,28.35,1480110,156323,32884,2.01,244009.0,7.0,985.0,966.0,1182509,72.26,588074.0,385340.0,202734.0,45.15,58.88,31.28,588074.0,9252.0,194817.0,145165.0,87404.0,130333.0,20770.0,237608.0,444558.0,864462.0,89805.0,814590.0,496410.0,318180.0,821843.0,1.Bhangi etc.,10552.0,2.Bhambi etc.,9484.0,3.Mahyavansi etc.,6031.0,1.Hindus,1571017.0,2.Muslims,52632.0,3.Christians,8907.0,1.Bhil etc.,1059350,2.Patelia,79359,3.Naikda etc.,25351,1.Dohad (M),79139.0,2.Jhalod (M),25095.0,3.Devgadbaria (M),19202.0,693.0,693.0,693.0,692.0,79,18,690.0,-,182,3,580,40,308,315.0,572.0,572.0,602,25.4,54.3,20.2
18,19,Gujarat,"District Vadodara (19), Gujarat (24)",3641802.0,1897368.0,1744434.0,19.8,1995580,1646222,204285,5.61,739276.0,5.0,919.0,885.0,967393,26.56,2228008.0,1309347.0,918661.0,70.76,80.04,60.73,2228008.0,20092.0,544745.0,532329.0,314118.0,596035.0,219863.0,343856.0,760663.0,2277521.0,259762.0,1518845.0,1202620.0,316225.0,2122957.0,1.Mahyavansi etc.,104004.0,2.Bhambi etc.,42128.0,3.Bhangi etc.,36372.0,1.Hindus,3258593.0,2.Muslims,317194.0,3.Jains,31566.0,1.Rathawa,424195,2.Bhil etc.,269874,3.Dhanka etc.,127003,1.Vadodara (M Corp.),1306227.0,2.Dabhoi (M),54952.0,3.Padra (M),35923.0,1548.0,1548.0,1548.0,1532.0,280,192,1488.0,-,242,7,1254,72,447,827.0,1114.0,1134.0,845,64.1,28.9,6.9
19,20,Gujarat,District Narmada,514404.0,263986.0,250418.0,14.4,462298,52106,10038,1.95,104038.0,5.0,949.0,945.0,401654,78.08,259472.0,161092.0,98380.0,59.86,72.44,46.61,259472.0,2940.0,88671.0,72778.0,39196.0,47023.0,8831.0,56690.0,121680.0,299481.0,36553.0,259116.0,176372.0,82744.0,255288.0,1.Mahyavansi etc.,4238.0,2.Bhambi etc.,3501.0,3.Bhangi etc.,1635.0,1.Hindus,482552.0,2.Muslims,20429.0,3.Christians,5122.0,1.Bhil etc.,301183,2.Dhanka etc.,91879,3.Gamit etc.,3598,1.Rajpipla (M),34923.0,2.Kevadiya (CT),12703.0,3.Vadia (CT),4480.0,552.0,552.0,544.0,530.0,30,4,515.0,-,58,-,324,20,128,267.0,318.0,398.0,227,20.2,72.0,7.8
20,21,Gujarat,"District Bharuch (21), Gujarat (24)",1370656.0,713676.0,656980.0,19.32,1018096,352560,61491,4.49,282677.0,5.0,921.0,917.0,444043,32.4,875519.0,508240.0,367279.0,74.41,82.98,65.11,875519.0,7217.0,245062.0,242665.0,125810.0,203903.0,49957.0,136360.0,298528.0,838899.0,96869.0,570693.0,469551.0,101142.0,799963.0,1.Mahyavansi etc.,36190.0,2.Bhambi etc.,13803.0,3.Bhangi etc.,9119.0,1.Hindus,1059796.0,2.Muslims,293459.0,3.Christians,8824.0,1.Bhil etc.,371566,2.Dubla etc.,58624,3.Gamit etc.,3695,1.Bharuch (M),148140.0,2.Anklesvar (M),67569.0,3.Jambusar (M),38778.0,657.0,657.0,654.0,656.0,3,2,644.0,-,136,5,403,31,211,539.0,582.0,600.0,274,53.9,43.5,2.6
21,22,Gujarat,"District Surat (22), Gujarat (24)",4995174.0,2722539.0,2272635.0,47.04,1999357,2995817,169324,3.39,1027843.0,5.0,835.0,871.0,1408270,28.19,3206404.0,1914423.0,1291981.0,74.65,81.51,66.36,3206404.0,21145.0,749869.0,897529.0,499495.0,847536.0,189593.0,488467.0,1040002.0,3201010.0,265695.0,2182509.0,1981266.0,201243.0,2812665.0,1.Mahyavansi etc.,87597.0,2.Bhambi etc.,26297.0,3.Mahar etc.,18545.0,1.Hindus,4350795.0,2.Muslims,447951.0,3.Jains,86607.0,1.Gamit etc.,325461,2.Bhil etc.,309253,3.Chaudhri,277380,1.Surat (M Corp) (Part),2433835.0,2.Surat (M Corp.),2433835.0,3.Bardoli (M),51946.0,1167.0,1167.0,1167.0,1165.0,142,86,1134.0,-,239,9,1040,71,484,873.0,1040.0,1036.0,706,66.4,30.8,2.8
22,23,Gujarat,"District The Dangs (23), Gujarat (24)",186729.0,93974.0,92755.0,29.58,186729,-,921,0.49,36498.0,5.0,987.0,974.0,175079,93.76,89586.0,53339.0,36247.0,59.65,70.68,48.51,89586.0,1047.0,38529.0,25573.0,11049.0,11161.0,2217.0,26723.0,50300.0,99392.0,10314.0,92993.0,68599.0,24394.0,93736.0,1.Bhambi etc.,279.0,2.Mahar etc.,210.0,3.Bhangi etc.,149.0,1.Hindus,165436.0,2.Christians,17760.0,3.Muslims,2792.0,1.Kokna etc.,48917,2.Bhil etc.,45901,3.Kunbi,43292,No Urban Area,,,,,,311.0,311.0,311.0,311.0,251,34,309.0,-,25,1,258,9,48,78.0,211.0,185.0,297,7.9,89.2,2.9
23,24,Gujarat,District Navsari,1229463.0,628988.0,600475.0,13.22,893110,336353,39574,3.22,257161.0,5.0,955.0,915.0,591164,48.08,819146.0,456108.0,363038.0,75.83,82.77,68.61,819146.0,5025.0,199422.0,204846.0,130100.0,227515.0,51890.0,105347.0,246389.0,779087.0,98640.0,545215.0,457002.0,88213.0,684248.0,1.Mahyavansi etc.,23039.0,2.Bhambi etc.,9439.0,3.Bhangi etc.,2928.0,1.Hindus,1135525.0,2.Muslims,69972.0,3.Jains,13575.0,1.Dhodia,214175,2.Dubla etc.,159445,3.Kokna etc.,114186,1.Navsari (M),134017.0,2.Vijalpor (M),53913.0,,,374.0,374.0,374.0,374.0,8,8,368.0,-,148,2,268,30,224,353.0,371.0,365.0,205,57.6,40.4,2.0
24,25,Gujarat,"District Valsad (25), Gujarat (24)",1410553.0,734799.0,675754.0,29.66,1029392,381161,37304,2.64,289159.0,5.0,920.0,933.0,772405,54.76,833257.0,489578.0,343679.0,69.15,77.9,59.62,833257.0,8035.0,206715.0,200325.0,133866.0,225426.0,58659.0,145699.0,302177.0,870571.0,92106.0,650257.0,503333.0,146924.0,760296.0,1.Mahyavansi etc.,22261.0,2.Bhambi etc.,8410.0,3.Bhangi etc.,1863.0,1.Hindus,1300005.0,2.Muslims,66440.0,3.Christians,15399.0,1.Dhodia,257959,2.Varli,211937,3.Kokna etc.,123452,1.Vapi (M),71406.0,2.Valsad (M),68679.0,3.Pardi (M),25275.0,450.0,450.0,450.0,425.0,139,11,449.0,-,115,1,303,31,237,293.0,383.0,347.0,267,53.1,44.3,2.6
0,1,Mizoram,"District Mamit * (01), Mizoram (15)",62785.0,33114.0,29671.0,(3.50),52132.0,10653,18,0.03,12253.0,5.0,896.0,936.0,58950.0,93.89,40849.0,22693.0,18156.0,79.14,82.98,74.81,40849.0,580.0,17793.0,11786.0,6611.0,3220.0,857.0,7856.0,16021.0,35359.0,3549.0,35165.0,27428.0,7737.0,27620.0,1.Generic Castes etc.,11.0,2.Namasudra,2.0,3.Bhuinmali etc.,1.0,1.Christians,50563.0,2.Buddhists,8579.0,3.Hindus,2404.0,1.Any Mizo (Lushai) tribes etc.,43794.0,2.Chakma,8701.0,3.Any Kuki Tribes etc.,6111.0,1.Mamit (NT),5110.0,2.Zawlnuam (NT),3120.0,3.Lengpui (NT),2423.0,82.0,81.0,20.0,63.0,63.0,-,72.0,44.0,24.0,-,35.0,5.0,28.0,41.0,35.0,34.0,27.0,30.9,32.2,36.8
1,2,Mizoram,"District Kolasib * (02), Mizoram (15)",65960.0,34562.0,31398.0,36.01,29461.0,36499,17,0.03,14053.0,5.0,908.0,972.0,59221.0,89.78,50596.0,26969.0,23627.0,91.34,92.34,90.22,50596.0,1182.0,19384.0,14227.0,9422.0,5028.0,1351.0,7427.0,15908.0,38920.0,3705.0,35510.0,27441.0,8069.0,30450.0,1.Patni,6.0,2.Dhupi etc.,4.0,3.Kaibartta etc.,3.0,1.Christians,59098.0,2.Hindus,4237.0,3.Muslims,1995.0,1.Any Mizo (Lushai) tribes etc.,53697.0,2.Hmar,2910.0,3.Any Kuki Tribes etc.,2137.0,1.Kolasib (NT),19008.0,2.Vairengte (NT),7715.0,3.N.Kawnpui (NT),6472.0,39.0,39.0,34.0,30.0,30.0,-,30.0,24.0,12.0,-,19.0,2.0,17.0,14.0,17.0,13.0,16.0,36.9,36.9,26.2
2,3,Mizoram,"District Aizawl (03), Mizoram (15)",325676.0,166877.0,158799.0,39.24,77531.0,248145,182,0.06,64753.0,5.0,952.0,972.0,303641.0,93.23,269699.0,138783.0,130916.0,96.51,96.75,96.26,269699.0,3008.0,80883.0,67374.0,58941.0,43311.0,16154.0,32742.0,71382.0,203257.0,18295.0,162961.0,125328.0,37633.0,162715.0,1.Generic Castes etc.,85.0,2.Namasudra,25.0,3.Bhuinmali etc.,12.0,1.Christians,303893.0,2.Hindus,14508.0,3.Muslims,5185.0,1.Any Mizo (Lushai) tribes etc.,285378.0,2.Hmar,14144.0,3.Any Kuki Tribes etc.,1849.0,1.Aizawl (NT),228280.0,2.Saitual (NT),10966.0,3.Sairang (NT),5034.0,96.0,96.0,53.0,81.0,74.0,-,86.0,68.0,43.0,-,46.0,6.0,40.0,56.0,55.0,45.0,51.0,71.8,21.6,6.5
3,4,Mizoram,"District Champhai * (04), Mizoram (15)",108392.0,55756.0,52636.0,29.77,66343.0,42049,-,-,22059.0,5.0,944.0,972.0,104924.0,96.8,82036.0,43231.0,38805.0,91.19,93.15,89.1,82036.0,1616.0,36061.0,23377.0,11824.0,7102.0,2051.0,12805.0,27132.0,61919.0,6536.0,68134.0,49658.0,18476.0,40258.0,No Scheduled Castes in this area,,,,,,1.Christians,105061.0,2.Hindus,2248.0,3.Muslims,432.0,1.Any Mizo (Lushai) tribes etc.,100803.0,2.Any Kuki Tribes etc.,1780.0,3.Pawi,1023.0,1.Champhai (NT),26465.0,2.Khawzawl (NT),10954.0,3.Khawhai (NT),2403.0,88.0,88.0,76.0,64.0,64.0,-,80.0,72.0,41.0,1,51.0,8.0,43.0,60.0,36.0,31.0,57.0,48.8,33.8,17.4
